관리번호,급경사지명,소재지,비고(Note),region,경사도(Slope),곡률(Curvature),거칠기(Roughness),사면향(Aspect),aspect_sin,aspect_cos,S1_transfer,S1_used,Susceptibility,RiskScore,risk_grade5_by_region
25,강원-정선선13-충,정선읍 애산리 467-2철,실측값,정선_v2(라벨없음),3.01,-0.31,15.41,258.74,-0.9807512157806098,-0.1952614983678445,0.3439198628231361,0.2778105348962393,0.22224842791699145,22.224843,2
26,강원 정선 정선 신월 N2지구,정선읍 신월리 산47임,실측값,정선_v2(라벨없음),20.07,0.29,86.58,262.11,-0.9905334367505378,-0.13727166743056712,0.18705614583491134,0.13377235666984455,0.10701788533587564,10.701789,1
27,정선 17km890(중),정선읍 신월리 산198-2임,실측값,정선_v2(라벨없음),16.09,-0.14,60.49,354.43,-0.09706178655843523,0.9952783578427117,0.9409432723277834,0.9295572227274033,0.7436457781819227,74.364578,5
28,강원-정선선10-충,정선읍 신월리 산202-2임,실측값,정선_v2(라벨없음),5.54,-0.85,48.38,332.35,-0.46406921712668847,0.8857989397800284,0.7995193273354956,0.7645304019764493,0.6116243215811594,61.162432,5
29,정선 17km120(중),정선읍 신월리 산206-1철,실측값,정선_v2(라벨없음),8.47,-0.7,63.7,1.76,0.03071296426525265,0.9995282456369311,0.9008088540540174,0.8821839972649805,0.7057471978119845,70.57472,5
30,정선 18km160(중),정선읍 신월리 산100 임,실측값,정선_v2(라벨없음),19.68,0.25,87.38,134.66,0.7112903627557938,-0.7028982997921757,0.8498403308960019,0.8226304955058962,0.658104396404717,65.81044,5
31,강원-정선선11-충,정선읍 신월리 산199-2철,실측값,정선_v2(라벨없음),21.68,-0.22,92.93,18.1,0.31067642963073183,0.9505157316277837,0.5282350364701637,0.4649354317944192,0.3719483454355354,37.194835,3
32,정선 17km828(중),정선읍 신월리 산199-2철,실측값,정선_v2(라벨없음),21.68,-0.22,92.93,18.1,0.31067642963073183,0.9505157316277837,0.5282350364701637,0.4649354317944192,0.3719483454355354,37.194835,3
33,정선 19km030(중),정선읍 신월리 산130-5철,실측값,정선_v2(라벨없음),13.44,-0.3,72.33,45.14,0.7088324563865656,0.7053768842065834,0.23926834280135872,0.17974726458297852,0.1437978116663828,14.379781,1
34,강원-정선선12-충,정선읍 신월리 880-2철,실측값,정선_v2(라벨없음),14.18,-0.26,65.26,221.29,-0.6598705375823843,-0.751379314082265,0.797250885521997,0.7619281379869798,0.6095425103895838,60.954251,5
35,강원 정선 정선 신월 N1지구,정선읍 신월리 383-6 전,실측값,정선_v2(라벨없음),11.84,-0.61,46.15,285.08,-0.9655635052852649,0.26016747925371503,0.622219745874865,0.5658906873417242,0.4527125498733794,45.271255,4
36,강원 정선 정선 덕우 N1지구,정선읍 덕우리 365전,실측값,정선_v2(라벨없음),16.24,-0.37,63.68,0.23,0.004014246498463718,0.9999919428800662,0.9263281797882074,0.9122583581646522,0.7298066865317218,72.980669,5
37,강원 정선 정선 여탄 N2지구,정선읍 여탄리 산89-2임,실측값,정선_v2(라벨없음),16.65,0.21,67.5,168.46,0.20005200227756154,-0.9797852807552982,0.794918575960862,0.7592541511033102,0.6074033208826481,60.740332,5
38,강원 정선 정선 여탄 N3지구,정선읍 여탄리 산105임,실측값,정선_v2(라벨없음),27.5,0.4,108.59,86.39,0.9980157542144626,0.06296470709641445,0.7722531466852862,0.7333505531635441,0.5866804425308353,58.668044,5
39,강원 정선 정선 여탄 N1지구,정선읍 여탄리 산47임,실측값,정선_v2(라벨없음),21.8,-0.35,96.13,329.68,-0.5048289749734218,0.863219384645227,0.6428735316368297,0.588505674077032,0.47080453926162563,47.080454,4
40,용탄교회지구,정선읍 용탄리 산204-1임,실측값,정선_v2(라벨없음),7.27,0.08,28.07,201.9,-0.372987782575809,-0.92783625389892,0.45425848266594193,0.38793919038540564,0.31035135230832456,31.035135,3
41,세대3지구,정선읍 용탄리 산134-1 도,실측값,정선_v2(라벨없음),9.35,-0.33,35.9,255.4,-0.9677091704819711,-0.25206935824311394,0.2354701761867275,0.1763287344546398,0.14106298756371186,14.106299,1
42,강원 정선 정선 용탄 N1지구,정선읍 용탄리 산250 임,실측값,정선_v2(라벨없음),20.47,0.55,83.59,100.15,0.9843497687844239,-0.1762258003075917,0.7521594728865525,0.7105128150044507,0.5684102520035607,56.841025,5
